Model,RMSE,MAE,SMAPE,MASE,R2
LSTM,2.749335182420411,1.8708325141992534,0.027494306766689104,0.2146078789696729,0.9918776694088944
GRU,2.431597278179616,1.5597328542217723,0.02257916415317618,0.1789208585286528,0.9936299329681961
BiLSTM,2.5429842210568845,1.6739582814230587,0.024628512133157553,0.1920239431019745,0.9930395883035754
CNN,2.8308106736360554,1.861776133010327,0.026715439846889937,0.21356899882228125,0.9913668553865584
CNN_LSTM,2.023689107355512,1.12679589757825,0.01626052627060999,0.12925757692130954,0.9955932606849022
Transformer,7.122992990405398,5.062886964602226,0.07346101199861241,0.5807764322513626,0.945485152542363
BiGRU,2.4702866262869594,1.5888342566622555,0.023007703768511977,0.18225915322119937,0.9934304291493179
Deep_LSTM,2.381814895201261,1.559623957907664,0.022497301131212236,0.1789083667599771,0.9938995662212863
Deep_GRU,2.3839140167377186,1.503394980362987,0.02152979610022233,0.17245820004761295,0.9938850998831501
CNN_GRU,2.1118964549936123,1.2186674177569392,0.017541582501727646,0.13979638888530138,0.9952009640161062
Residual_LSTM,2.3823953469090773,1.562699948903163,0.02259572475839996,0.1792612213839285,0.99390149928333
Attention_LSTM,3.0023394907185894,1.804960004887557,0.024470438438972956,0.20705147859791434,0.9901372452735497
TCN,4.686375216588091,3.2993633076564857,0.04885169214015821,0.3784782208094067,0.9763969284570948
CNN_Attention,7.346706047337795,5.287776885472416,0.07721649764024278,0.6065741178022075,0.941723601488245
ELM,9.367682535577304,6.808263858739028,0.10672975772709456,0.7809929831240078,0.9047215196703629
