Model,RMSE,MAE,SMAPE,MASE,R2
LSTM,2.1079772542780857,1.3870255949105794,0.018617374586172766,0.5697825357462176,0.9873482539469542
GRU,1.6325991267184676,0.8065798392056154,0.010721881688771915,0.33133859083110895,0.9924540584363981
BiLSTM,1.963482918845277,1.230759425726801,0.01673455598947398,0.5055892472765692,0.9890135348327801
CNN,2.331834569391303,1.6373777538173033,0.021593213559006993,0.6726258347126001,0.9844838549311661
CNN_LSTM,1.4948230072236788,0.7189756570162592,0.009747230896403752,0.29535127145288015,0.9936641368860435
Transformer,3.1352899791038853,2.23317007117967,0.029566472312188525,0.917374063303674,0.9721781594654088
BiGRU,1.6628808091534437,0.8477317552459022,0.011425150896671486,0.3482435730883121,0.9921608745612376
Deep_LSTM,1.5785783924461572,0.9671243295866281,0.012981893090407514,0.39728939027203436,0.9929425728470255
Deep_GRU,1.4777008767924924,0.7666388139137993,0.010337802660707291,0.31493103587712706,0.9938204208464626
CNN_GRU,1.6017721377105765,0.7908428379616,0.01060048129082327,0.3248739167063071,0.9927219317991639
Residual_LSTM,1.5214243072764084,0.7956717959315973,0.011063362644517785,0.3268576262551811,0.9934104753347572
Attention_LSTM,2.915177785991985,2.0382466967534416,0.027093586115759783,0.8373006061415902,0.9759491878588058
TCN,3.9822883124791133,2.89234821632852,0.038863521028154616,1.1881608436122335,0.9549771051790911
CNN_Attention,3.276028458243341,2.334773630669971,0.030925447649231885,0.9614667514200137,0.9697895904704783
ELM,8.53456334151663,5.6732740126416115,0.07671763113674847,2.3362711755849674,0.7915309089062246
