Model,RMSE,MAE,SMAPE,MASE,R2
LSTM,4.351435202816543,3.4768554570394734,0.01926271498133502,0.4387391151929214,0.9982172890888303
GRU,2.917918726672883,2.1335055993733842,0.012076253489915818,0.26922383472485983,0.9991792782952645
BiLSTM,3.964877680622094,3.0969839255266285,0.01739845426788332,0.3908037029555548,0.9985332705941644
CNN,3.637217925926079,3.036062882033499,0.01836910961585087,0.3831161689038618,0.998660070318518
CNN_LSTM,2.2401149385624555,1.675424552239465,0.010303252621282372,0.21141928236727794,0.9994935455848115
Transformer,10.375806634119396,8.090572978968808,0.04660910228210985,1.0209371295575929,0.9891690038615968
BiGRU,3.6956985848106547,2.853948029907634,0.016203715826250402,0.3601353720106752,0.9987122604914525
Deep_LSTM,4.2181182568308415,3.8719219396107136,0.024688927639469983,0.4885919552512414,0.9982524280414504
Deep_GRU,1.91437998384044,1.2946333870788331,0.007345360780690811,0.16336782295512425,0.9996577908181041
CNN_GRU,3.066375157060093,2.4294249612511627,0.014798698988100777,0.30656545004448577,0.9990966879917323
Residual_LSTM,3.1137482387600732,2.7366803370682797,0.01736750362015708,0.34533753976461945,0.9989960710035207
Attention_LSTM,4.934974958154411,3.835765865381164,0.019436194016353457,0.48402947509860683,0.9977419118980084
TCN,8.066850486746457,6.082989787439372,0.0314746849612368,0.7676032524346692,0.9939414797990436
CNN_Attention,9.660802046548763,7.376846971479161,0.03815691516320384,0.930873127505917,0.9913276979579887
ELM,15.188641077901597,11.548632540537836,0.06665116766608561,1.4573044192173978,0.9779789059707669
