0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
48.331745,48.905293,48.240887,48.716156,50.062492,48.102962,46.264282,47.962597,47.489292,47.601757,47.219276,48.239246,49.715595,49.270664,48.083202,47.530216,49.1307,48.04228,49.20984,47.669277
47.100613,47.38596,46.876907,47.233128,48.649925,46.755993,44.829155,46.579273,46.243923,46.23417,45.73084,46.861675,48.452587,47.818077,46.79385,46.368187,47.88993,46.71963,47.8867,46.269176
47.131275,47.18232,46.871002,46.977516,48.653538,46.7036,44.769005,46.50112,46.376163,46.35039,45.694534,46.83764,48.37125,47.578217,46.90346,46.29838,47.91775,46.56362,47.830456,46.22338
48.60774,48.753456,48.200813,48.52213,50.042538,47.994114,46.16632,47.83637,47.84431,47.83077,47.21064,48.38381,49.578117,48.97374,48.266594,47.49389,49.335808,47.899387,49.312675,47.81748
51.41013,51.688194,51.171688,51.5358,53.075184,50.79114,49.13164,50.59169,50.667465,50.761776,50.05189,51.126366,52.537827,51.965828,51.09846,50.185616,52.041924,50.755074,52.145767,50.685696
54.90658,55.223827,54.704292,55.14063,56.609966,54.22446,52.72092,54.168663,54.066063,54.477318,53.59884,54.488087,56.146317,55.56813,54.543896,53.720222,55.36076,54.21871,55.748123,54.318596
58.357754,58.47886,58.044575,58.525238,59.868484,57.607094,56.141335,57.514866,57.351177,57.556347,56.830547,57.77804,59.535847,58.93139,57.895294,57.194565,58.83122,57.609154,59.097103,57.563507
60.900963,60.77273,60.507626,61.04922,62.30096,60.131943,58.68267,59.96697,59.944893,59.97107,59.36397,60.16322,61.816605,61.183514,60.38243,59.74825,61.331963,59.898632,61.369026,59.99978
62.05515,62.008408,61.79053,62.120895,63.690273,61.38196,59.866894,61.131844,61.264683,60.96769,60.427555,61.42851,63.13021,62.396336,61.393063,61.05617,62.37345,60.96093,62.517265,61.122047
61.639484,61.853615,61.374683,61.764664,63.299026,61.282726,59.56419,60.880962,60.753506,60.692326,59.990833,61.299538,62.88223,62.232758,61.210945,60.79002,62.22971,60.846603,62.4277,61.01113
60.03259,60.273396,59.858257,60.222733,61.737293,59.618683,57.809784,59.200256,59.123264,59.083,58.28696,59.533295,61.136482,60.573067,59.63893,59.254116,60.54748,59.26163,60.802547,59.2893
57.67616,57.96225,57.530716,57.8101,59.424816,57.23763,55.345486,56.840233,56.782856,56.697514,56.01638,57.029034,58.728127,58.150955,57.1503,57.011585,58.137844,56.915882,58.400867,56.87151
54.526283,54.785847,54.363316,54.686203,56.20812,54.08755,52.148693,53.658684,53.600742,53.32342,52.798466,53.869328,55.56209,54.982327,53.87872,53.82803,54.933025,53.722054,55.21301,53.76045
50.809887,51.13981,50.67552,51.196102,52.449654,50.461876,48.530563,49.91644,49.959003,49.766747,49.08237,50.281864,51.95828,51.221527,50.179344,50.107002,51.287075,50.081085,51.4528,50.133854
