Model,RMSE,MAE,SMAPE,MASE,R2
LSTM,1.40057183378298,1.1299280358400479,0.013664043961346217,0.4548830909224037,0.998958699366924
GRU,1.0190328209360184,0.8246340331867688,0.010193086998584153,0.33197873315615833,0.9994040724452349
BiLSTM,1.2055577717856392,0.960639243414542,0.01147194545800749,0.38673130893764696,0.9992406833261805
CNN,1.7382303201252831,1.3287773991127738,0.015825326907254838,0.5349352801985126,0.9984521799504824
CNN_LSTM,0.6991316896659807,0.5961841976970076,0.007607350885345515,0.24001007321310358,0.9997077695622997
Transformer,3.0862358289574727,2.493456160131218,0.03009021421789369,1.0038082154114796,0.9949281130512432
BiGRU,1.0610459116635167,0.8497053004779035,0.010544382686839607,0.3420718498830607,0.999415862119131
Deep_LSTM,1.141892892011246,0.9061463443039635,0.011056712851598226,0.3647937185827764,0.9992500716786223
Deep_GRU,0.5802493645951559,0.4424481471608538,0.005213477348623346,0.1781194681162069,0.9998082032026462
CNN_GRU,1.3105069735390225,1.1676230710591695,0.015191155134331794,0.47005824685182984,0.9989837657419514
Residual_LSTM,1.2504364803060435,1.1908239375518206,0.015913291831670163,0.47939838315034083,0.9988925462303463
Attention_LSTM,1.2518266422475801,0.9613034854498814,0.011341739093559611,0.386998717534099,0.9991965681600817
TCN,8.338285285248311,5.922283007882976,0.07431217155195867,2.3841751992109987,0.9514156903294613
CNN_Attention,3.015394325644936,2.384082911485666,0.02756116845075887,0.9597770560543925,0.9953318091883897
ELM,12.985676223268044,7.819344786471189,0.08761052721960155,3.1478887262175235,0.8908986532781613
